product_name	packaging	brands	categories_tags	ingredients_text	nutriscore_grade	ecoscore_grade
Beignets			en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:doughnuts,en:doughnuts-filled-with-fruits,en:sweet-fritters,fr:beignets-fourres-a-la-framboise		c	b
Cuisse de poulet rotie	Plastique, Frais	Maître Coq	en:meats-and-their-products,en:meats,en:chicken-and-its-products,en:poultries,en:chickens,en:chicken-thighs	Haut de cuisse et pilon de poulet* 80% (origine France), eau Sirop de glucose*, amidon de pomme de terre*, sel de mer de Camargue, arôme naturel. produits issus de l'agriculture biologique. Fabriqué dans un atelier qui utilise : gluten, soja, Lait, oeuf, céleri, moutarde	c	b
Morceaux choisis de poulet recette thym citron	Sous-vide	Maître Coq	fr:morceaux-poulet-thym-citron		d	unknown
La Pintade Les Éleveurs de nos Régions	Plastique, Frais, Sous atmosphère protectrice	Maître Coq	en:meats-and-their-products,en:meats,en:fresh-meats,en:poultries,fr:pintades	Pintade classe A	b	c
Aiguillettes de Poulet Marinées Huile d'Olive Romarin	Plastique, Frais	Maître Coq	en:meats-and-their-products,en:meats,en:chicken-and-its-products,en:poultries,en:chickens,fr:aiguillettes-de-poulet	Aiguillette de poulet 90 %, eau, huile d'olive 2 %, sel, herbes de Provence (dont romarin), amidon de maïs, arôme naturel.	a	c
Aiguillettes de Dinde Recette Indian Curry	Plastique, Frais	Arrivé	en:meats-and-their-products,en:meats,en:fresh-meats,en:poultries,en:turkey-and-its-products,en:turkeys,fr:aiguillettes-de-dinde	Aiguillettes de dinde 90 % ( origine France ), eau, sel, curry 0,6 % (curcuma, coriandre, cardamome, piment de Cayenne piment de la Jamaïque, gingembre, cannelle, poivre, cumin), épices, sucre noix de coco 0,2 %, poivrons rouges, poudre d'ail, poudre d'oignons, poudre de tomates, farine de riz persil, extrait d'épices, arômes naturels.	b	c
Poulet roti		Maître Coq	en:meats-and-their-products,en:meats,en:chicken-and-its-products,en:poultries,en:chickens,en:cooked-poultries,en:cooked-chicken,en:roast-chicken	Filets de poulet avec peau (origine : France), eau, sel, huile de tournesol, sucre roux, sirop de glucose, protéines de pois, fibre de carotte, épaississant: carraghenanes.  Fabrique dans un atelier qui utilise : gluten, soja, lait, oeuf, céleri.	c	d
2 filet de poulets		Maître Coq	en:meats-and-their-products,en:meats,en:chicken-and-its-products,en:poultries,en:chickens,en:chicken-breasts	Filets de poulet avec peau (origine : France), eau, sel, huile de tournesol, sucre roux, sirop de glucose, proteines de pois, fibre de carotte, epaississant: carraghenanes.  109g de filet de poulet mis en oeuvre pour 100g de produit fini.  Fabrique dans un atelier qui utilise : gLuten, soja, lait, oeuf, celeri.	c	d
Poulet rôti		Maître Coq	en:meats-and-their-products,en:meats,en:chicken-and-its-products,en:poultries,en:chickens,en:cooked-poultries,en:cooked-chicken,en:roast-chicken	Filets de poulet avec peau (origine : France), eau, sel, huile de tournesol, sucre roux, sirop de glucose, protéines de pois, fibre de carotte, épaississant: carraghenanes.  109g de filet de poulet mis en oeuvre pour 100g de produit fini.  Fabrique dans un atelier qui utilise : gluten, soja, Lait.	c	d
Filet de poulet		Maitre Coq	en:meats-and-their-products,en:meats,en:chicken-and-its-products,en:poultries,en:chickens,en:chicken-breasts	Filet de poulet (95%). eau. sel. sirop de glucose. correcteurs d'acidite : acetate de sodium - acide citrique. fibre de citron. aromes naturels	a	d
Poularde farcie aux figues et aux marrons	Boîte en carton,Sachet plastique	Maitre Coq	en:meats-and-their-products,en:meals,en:meats,en:meals-with-meat,en:poultries,en:poultry-meals,fr:poulardes	Poularde 68% (origine : France), farce 27% (viande de poulet (origine : France), maigre de porc, figues sèches 2,4% (figues, farine de riz), pommes 2,2%, marrons confits 2,1% (marrons, graisse de canard), compote de pommes (pommes, sucre), chapelure (farine de blé, sel), crème, blanc d'œuf en poudre issu de poule élevée en plein air, sel, épice, eau, sucre caramélisé. Barde de porc.	b	c
12 Macarons	Plastique, Carton, Sous-vide	Leclerc	en:snacks,en:desserts,en:sweet-snacks,en:biscuits-and-cakes,en:pastries,en:macarons,fr:assortiments-de-macarons	Sucre AMANDES en poudre 19% - Blancs d'OEUFS 16% - CRÈME Amidon de m aïs - Chocolat noir 1.8% (pâte de cacao*, sucre, beurre de cacao*) - BEURRE Chocolat blanc ( sucre, beurre de cacao*, poudre de LAIT entier, arôme naturel de vanllle) Brisures de framboises 1% Sirop de glucose Jus de citrons 1% - Blancs d'OEUFS en poudre 1% - Purée d' AMANDES 0.8% OEUFS 0.7% - Huile de colza - Purée de pommes LAIT écrémé en poudre - Purée de PISTACHES 0.4% Citrons 0.3% - Arôme naturel de vanllle Concentré de betteraves rouges - Extrait de malt d'ORGE Concentré de curcuma Gélifiant : pectines Cacao malgre en poudre* - Sucre caramélisé Café soluble 0.05% - Stabilisants gomme xanthane, carraghénanes - Spiruline Arôme naturel de PISTACHE Grains de vanille épuisés.	d	c
